北京

月份	aqi	质量等级	pm2_5	pm10	范围	co	no2	so2	o3
2018-05	91	良	45μg/m³	85μg/m³	0~169	0.648mg/m³	4μg/m³	36μg/m³	134μg/m³
2018-06	111	轻度污染	43μg/m³	67μg/m³	44~190	0.7mg/m³	4μg/m³	32μg/m³	168μg/m³
2018-07	89	良	44μg/m³	48μg/m³	28~156	0.787mg/m³	3μg/m³	24μg/m³	135μg/m³
2018-08	83	良	31μg/m³	46μg/m³	35~152	0.745mg/m³	3μg/m³	26μg/m³	133μg/m³
2018-09	60	良	28μg/m³	45μg/m³	30~132	0.543mg/m³	34μg/m³	3μg/m³	93μg/m³
2018-10	74	良	42μg/m³	59μg/m³	26~203	0.668mg/m³	45μg/m³	4μg/m³	70μg/m³
2018-11	108	轻度污染	71μg/m³	104μg/m³	39~270	1.07mg/m³	7μg/m³	60μg/m³	37μg/m³
2018-12	71	良	38μg/m³	73μg/m³	0~232	0.835mg/m³	7μg/m³	46μg/m³	40μg/m³
2019-01	81	良	51μg/m³	80μg/m³	30~267	0.997mg/m³	9μg/m³	50μg/m³	44μg/m³
2019-02	80	良	53μg/m³	72μg/m³	32~180	0.807mg/m³	6μg/m³	35μg/m³	65μg/m³
2019-03	85	良	52μg/m³	80μg/m³	39~233	0.635mg/m³	5μg/m³	39μg/m³	86μg/m³
2019-04	84	良	48μg/m³	91μg/m³	39~171	0.547mg/m³	4μg/m³	34μg/m³	103μg/m³
2019-05	93	良	37μg/m³	78μg/m³	47~195	0.503mg/m³	4μg/m³	34μg/m³	143μg/m³
2019-06	121	轻度污染	39μg/m³	60μg/m³	36~193	0.713mg/m³	4μg/m³	27μg/m³	179μg/m³
2019-07	108	轻度污染	37μg/m³	50μg/m³	33~173	0.661mg/m³	3μg/m³	27μg/m³	159μg/m³
2019-08	72	良	23μg/m³	37μg/m³	28~150	0.571mg/m³	3μg/m³	26μg/m³	118μg/m³
2019-09	97	良	36μg/m³	58μg/m³	33~178	0.67mg/m³	33μg/m³	3μg/m³	151μg/m³
2019-10	68	良	40μg/m³	66μg/m³	23~163	0.681mg/m³	41μg/m³	3μg/m³	42μg/m³
2019-11	76	良	44μg/m³	78μg/m³	30~183	0.797mg/m³	5μg/m³	48μg/m³	32μg/m³
2019-12	73	良	44μg/m³	60μg/m³	28~233	0.845mg/m³	46μg/m³	4μg/m³	37μg/m³
2020-01	86	良	59μg/m³	65μg/m³	30~221	0.955mg/m³	6μg/m³	40μg/m³	53μg/m³
2020-02	89	良	62μg/m³	57μg/m³	34~257	0.883mg/m³	4μg/m³	27μg/m³	66μg/m³
2020-03	63	良	35μg/m³	53μg/m³	36~153	0.484mg/m³	4μg/m³	25μg/m³	84μg/m³
2020-04	75	良	31μg/m³	67μg/m³	42~202	0.403mg/m³	4μg/m³	22μg/m³	119μg/m³
2020-05	85	良	36μg/m³	62μg/m³	36~204	0.603mg/m³	4μg/m³	23μg/m³	124μg/m³
2020-06	116	轻度污染	32μg/m³	67μg/m³	60~202	0.567mg/m³	3μg/m³	23μg/m³	174μg/m³
2020-07	99	良	41μg/m³	47μg/m³	48~152	0.671mg/m³	3μg/m³	21μg/m³	150μg/m³
2020-08	80	良	28μg/m³	41μg/m³	27~135	0.645mg/m³	3μg/m³	22μg/m³	131μg/m³
2020-09	56	良	24μg/m³	35μg/m³	22~158	0.537mg/m³	3μg/m³	26μg/m³	96μg/m³
2020-10	72	良	42μg/m³	70μg/m³	26~185	0.561mg/m³	41μg/m³	3μg/m³	60μg/m³
2020-11	66	良	37μg/m³	62μg/m³	26~140	0.653mg/m³	42μg/m³	3μg/m³	41μg/m³
2020-12	56	良	28μg/m³	56μg/m³	27~97	0.619mg/m³	5μg/m³	38μg/m³	40μg/m³
2021-01	72	良	33μg/m³	55μg/m³	30~176	0.69mg/m³	4μg/m³	31μg/m³	49μg/m³
2021-02	94	良	61μg/m³	75μg/m³	36~257	0.804mg/m³	4μg/m³	28μg/m³	73μg/m³
2021-03	149	轻度污染	64μg/m³	66μg/m³	34~500	0.703mg/m³	35μg/m³	3μg/m³	71μg/m³
2021-04	71	良	29μg/m³	59μg/m³	41~187	0.437mg/m³	3μg/m³	27μg/m³	106μg/m³
2021-05	84	良	18μg/m³	49μg/m³	38~253	0.419mg/m³	3μg/m³	21μg/m³	122μg/m³
2021-06	85	良	19μg/m³	43μg/m³	36~191	0.533mg/m³	3μg/m³	19μg/m³	139μg/m³
2021-07	71	良	16μg/m³	32μg/m³	29~125	0.574mg/m³	2μg/m³	14μg/m³	121μg/m³
2021-08	72	良	18μg/m³	36μg/m³	38~125	0.594mg/m³	3μg/m³	15μg/m³	124μg/m³
2021-09	57	良	18μg/m³	36μg/m³	25~108	0.63mg/m³	3μg/m³	21μg/m³	99μg/m³
2021-10	50	优	25μg/m³	43μg/m³	20~153	0.471mg/m³	30μg/m³	3μg/m³	58μg/m³
2021-11	75	良	44μg/m³	65μg/m³	29~193	0.643mg/m³	36μg/m³	3μg/m³	42μg/m³
2021-12	55	良	27μg/m³	52μg/m³	28~123	0.581mg/m³	36μg/m³	3μg/m³	40μg/m³
2022-01	68	良	45μg/m³	52μg/m³	29~198	0.742mg/m³	34μg/m³	3μg/m³	45μg/m³
2022-02	47	优	22μg/m³	37μg/m³	35~84	0.436mg/m³	3μg/m³	20μg/m³	72μg/m³
2022-03	70	良	39μg/m³	72μg/m³	36~205	0.526mg/m³	3μg/m³	27μg/m³	80μg/m³
2022-04	74	良	34μg/m³	75μg/m³	38~128	0.453mg/m³	3μg/m³	22μg/m³	115μg/m³
2022-05	86	良	21μg/m³	50μg/m³	36~178	0.355mg/m³	3μg/m³	17μg/m³	138μg/m³
2022-06	102	轻度污染	23μg/m³	46μg/m³	44~205	0.563mg/m³	3μg/m³	14μg/m³	158μg/m³
2022-07	86	良	19μg/m³	35μg/m³	45~161	0.468mg/m³	3μg/m³	15μg/m³	142μg/m³
2022-08	67	良	19μg/m³	34μg/m³	26~120	0.465mg/m³	3μg/m³	15μg/m³	115μg/m³
2022-09	91	良	30μg/m³	62μg/m³	33~157	0.51mg/m³	3μg/m³	24μg/m³	145μg/m³
2022-10	65	良	40μg/m³	69μg/m³	23~142	0.461mg/m³	3μg/m³	29μg/m³	67μg/m³
2022-11	71	良	45μg/m³	75μg/m³	24~156	0.55mg/m³	32μg/m³	3μg/m³	46μg/m³
2022-12	57	良	21μg/m³	62μg/m³	28~500	0.329mg/m³	24μg/m³	2μg/m³	51μg/m³
2023-01	61	良	32μg/m³	68μg/m³	29~117	0.429mg/m³	3μg/m³	26μg/m³	54μg/m³
2023-02	80	良	54μg/m³	81μg/m³	26~186	0.575mg/m³	36μg/m³	3μg/m³	59μg/m³
2023-03	117	轻度污染	60μg/m³	147μg/m³	40~500	0.519mg/m³	32μg/m³	3μg/m³	93μg/m³
2023-04	105	轻度污染	43μg/m³	132μg/m³	33~475	0.34mg/m³	3μg/m³	23μg/m³	97μg/m³
2023-05	91	良	31μg/m³	72μg/m³	37~170	0.452mg/m³	3μg/m³	20μg/m³	138μg/m³
2023-06	112	轻度污染	20μg/m³	45μg/m³	49~203	0.39mg/m³	3μg/m³	19μg/m³	170μg/m³
2023-07	93	良	19μg/m³	36μg/m³	19~181	0.458mg/m³	3μg/m³	15μg/m³	147μg/m³
2023-08	71	良	22μg/m³	38μg/m³	30~123	0.494mg/m³	3μg/m³	15μg/m³	122μg/m³
2023-09	70	良	29μg/m³	48μg/m³	29~118	0.52mg/m³	3μg/m³	22μg/m³	115μg/m³
2023-10	64	良	36μg/m³	67μg/m³	29~178	0.519mg/m³	31μg/m³	3μg/m³	79μg/m³
2023-11	56	良	29μg/m³	60μg/m³	25~170	0.44mg/m³	27μg/m³	2μg/m³	51μg/m³
2023-12	68	良	41μg/m³	80μg/m³	16~173	0.661mg/m³	39μg/m³	3μg/m³	20μg/m³
2024-01	61	良	37μg/m³	61μg/m³	28~124	0.59mg/m³	37μg/m³	3μg/m³	46μg/m³
2024-02	61	良	39μg/m³	61μg/m³	32~144	0.5mg/m³	3μg/m³	22μg/m³	72μg/m³
2024-03	78	良	43μg/m³	96μg/m³	37~199	0.494mg/m³	3μg/m³	28μg/m³	83μg/m³
2024-04	76	良	40μg/m³	88μg/m³	27~145	0.503mg/m³	3μg/m³	27μg/m³	108μg/m³
2024-05	93	良	29μg/m³	67μg/m³	33~179	0.435mg/m³	3μg/m³	21μg/m³	144μg/m³
2024-06	122	轻度污染	28μg/m³	63μg/m³	51~182	0.477mg/m³	3μg/m³	19μg/m³	178μg/m³
