北京

月份	aqi	质量等级	pm2_5	pm10	范围	co	no2	so2	o3 
2021-01	75	良	41μg/m³	70μg/m³	48~120	0.826mg/m³	8μg/m³	50μg/m³	55μg/m³
2021-02	52	良	31μg/m³	47μg/m³	32~79	0.679mg/m³	6μg/m³	27μg/m³	84μg/m³
2021-03	68	良	33μg/m³	52μg/m³	37~138	0.739mg/m³	5μg/m³	41μg/m³	85μg/m³
2021-04	67	良	28μg/m³	50μg/m³	39~113	0.69mg/m³	6μg/m³	35μg/m³	105μg/m³
2021-05	86	良	21μg/m³	38μg/m³	36~155	0.7mg/m³	6μg/m³	30μg/m³	139μg/m³
2021-06	82	良	19μg/m³	35μg/m³	39~180	0.58mg/m³	5μg/m³	24μg/m³	134μg/m³
2021-07	64	良	16μg/m³	33μg/m³	21~117	0.474mg/m³	4μg/m³	17μg/m³	109μg/m³
2021-08	75	良	18μg/m³	30μg/m³	34~140	0.642mg/m³	5μg/m³	20μg/m³	126μg/m³
2021-09	77	良	19μg/m³	34μg/m³	17~168	0.677mg/m³	5μg/m³	22μg/m³	129μg/m³
2021-10	58	良	19μg/m³	37μg/m³	31~124	0.577mg/m³	6μg/m³	31μg/m³	96μg/m³
2021-11	64	良	31μg/m³	58μg/m³	33~103	0.683mg/m³	7μg/m³	47μg/m³	75μg/m³
2021-12	78	良	49μg/m³	74μg/m³	30~139	0.858mg/m³	8μg/m³	56μg/m³	58μg/m³
2022-01	79	良	55μg/m³	67μg/m³	33~176	0.816mg/m³	5μg/m³	39μg/m³	63μg/m³
2022-02	57	良	37μg/m³	49μg/m³	32~128	0.668mg/m³	5μg/m³	23μg/m³	85μg/m³
2022-03	68	良	32μg/m³	52μg/m³	33~109	0.665mg/m³	6μg/m³	29μg/m³	109μg/m³
2022-04	85	良	28μg/m³	48μg/m³	32~141	0.603mg/m³	6μg/m³	20μg/m³	137μg/m³
2022-05	84	良	24μg/m³	36μg/m³	38~138	0.571mg/m³	6μg/m³	20μg/m³	138μg/m³
2022-06	84	良	20μg/m³	32μg/m³	29~173	0.6mg/m³	6μg/m³	16μg/m³	138μg/m³
2022-07	78	良	19μg/m³	29μg/m³	30~171	0.581mg/m³	6μg/m³	14μg/m³	131μg/m³
2022-08	90	良	21μg/m³	36μg/m³	41~130	0.645mg/m³	6μg/m³	17μg/m³	145μg/m³
2022-09	71	良	19μg/m³	34μg/m³	26~165	0.713mg/m³	6μg/m³	19μg/m³	120μg/m³
2022-10	57	良	17μg/m³	34μg/m³	28~121	0.594mg/m³	6μg/m³	24μg/m³	103μg/m³
2022-11	49	优	26μg/m³	44μg/m³	22~87	0.723mg/m³	7μg/m³	34μg/m³	72μg/m³
2022-12	69	良	41μg/m³	71μg/m³	29~153	0.765mg/m³	8μg/m³	44μg/m³	52μg/m³
2023-01	67	良	43μg/m³	71μg/m³	26~137	0.723mg/m³	7μg/m³	30μg/m³	80μg/m³
2023-02	55	良	33μg/m³	53μg/m³	35~107	0.625mg/m³	6μg/m³	30μg/m³	75μg/m³
2023-03	72	良	37μg/m³	78μg/m³	37~108	0.671mg/m³	7μg/m³	35μg/m³	103μg/m³
2023-04	86	良	35μg/m³	86μg/m³	38~183	0.62mg/m³	7μg/m³	23μg/m³	123μg/m³
2023-05	85	良	28μg/m³	53μg/m³	40~138	0.671mg/m³	7μg/m³	22μg/m³	137μg/m³
2023-06	91	良	23μg/m³	36μg/m³	27~187	0.757mg/m³	7μg/m³	19μg/m³	145μg/m³
2023-07	61	良	17μg/m³	26μg/m³	18~109	0.616mg/m³	7μg/m³	15μg/m³	108μg/m³
2023-08	80	良	19μg/m³	31μg/m³	22~164	0.655mg/m³	8μg/m³	15μg/m³	132μg/m³
2023-09	71	良	20μg/m³	32μg/m³	29~139	0.75mg/m³	8μg/m³	21μg/m³	119μg/m³
2023-10	76	良	27μg/m³	47μg/m³	39~135	0.768mg/m³	9μg/m³	35μg/m³	128μg/m³
2023-11	67	良	37μg/m³	68μg/m³	33~112	0.8mg/m³	41μg/m³	10μg/m³	84μg/m³
2023-12	86	良	58μg/m³	90μg/m³	28~206	0.913mg/m³	9μg/m³	53μg/m³	30μg/m³
2024-01	87	良	61μg/m³	89μg/m³	35~200	0.89mg/m³	8μg/m³	47μg/m³	62μg/m³
2024-02	65	良	43μg/m³	57μg/m³	28~218	0.779mg/m³	7μg/m³	20μg/m³	78μg/m³
2024-03	69	良	39μg/m³	72μg/m³	43~112	0.748mg/m³	8μg/m³	37μg/m³	99μg/m³
2024-04	64	良	27μg/m³	49μg/m³	33~111	0.67mg/m³	7μg/m³	27μg/m³	108μg/m³
2024-05	85	良	22μg/m³	41μg/m³	42~155	0.568mg/m³	8μg/m³	19μg/m³	139μg/m³
2024-06	81	良	17μg/m³	27μg/m³	22~162	0.597mg/m³	8μg/m³	16μg/m³	130μg/m³
2024-07	67	良	16μg/m³	28μg/m³	25~129	0.597mg/m³	8μg/m³	14μg/m³	117μg/m³
2024-08	91	良	20μg/m³	33μg/m³	44~149	0.681mg/m³	8μg/m³	15μg/m³	148μg/m³
2024-09	59	良	17μg/m³	29μg/m³	16~132	0.68mg/m³	8μg/m³	15μg/m³	104μg/m³
2024-10	55	良	21μg/m³	35μg/m³	32~108	0.697mg/m³	7μg/m³	26μg/m³	97μg/m³
2024-11	52	良	24μg/m³	45μg/m³	32~100	0.653mg/m³	7μg/m³	31μg/m³	81μg/m³
2024-12	73	良	49μg/m³	76μg/m³	37~152	0.855mg/m³	8μg/m³	48μg/m³	62μg/m³
2025-01	74	良	49μg/m³	79μg/m³	36~170	0.813mg/m³	9μg/m³	42μg/m³	81μg/m³
2025-02	66	良	44μg/m³	64μg/m³	36~122	0.732mg/m³	8μg/m³	29μg/m³	80μg/m³
2025-03	64	良	31μg/m³	55μg/m³	33~151	0.632mg/m³	7μg/m³	33μg/m³	106μg/m³
2025-04	94	良	35μg/m³	75μg/m³	55~127	0.56mg/m³	7μg/m³	28μg/m³	146μg/m³
2025-05	89	良	26μg/m³	47μg/m³	36~132	0.516mg/m³	5μg/m³	22μg/m³	145μg/m³
2025-06	65	良	17μg/m³	28μg/m³	30~133	0.496mg/m³	4μg/m³	20μg/m³	112μg/m³
无锡									
月份	aqi	质量等级	pm2_5	pm10	范围	co	no2	so2	o3
2013-12	196	中度污染	157μg/m³	213μg/m³	55~413	1.867mg/m³	72μg/m³	63μg/m³	40μg/m³
2014-01	138	轻度污染	105μg/m³	148μg/m³	54~272	1.216mg/m³	65μg/m³	40μg/m³	49μg/m³
2014-02	95	良	71μg/m³	94μg/m³	25~275	1.1mg/m³	41μg/m³	26μg/m³	59μg/m³
2014-03	96	良	70μg/m³	115μg/m³	55~162	1.042mg/m³	56μg/m³	30μg/m³	83μg/m³
2014-04	85	良	62μg/m³	95μg/m³	41~146	1.147mg/m³	51μg/m³	22μg/m³	98μg/m³
2014-05	111	轻度污染	70μg/m³	131μg/m³	51~194	1.065mg/m³	44μg/m³	26μg/m³	154μg/m³
2014-06	108	轻度污染	63μg/m³	92μg/m³	42~202	0.983mg/m³	36μg/m³	20μg/m³	158μg/m³
2014-07	105	轻度污染	54μg/m³	82μg/m³	34~175	0.987mg/m³	29μg/m³	17μg/m³	151μg/m³
2014-08	84	良	50μg/m³	77μg/m³	29~172	1.103mg/m³	33μg/m³	21μg/m³	121μg/m³
2014-09	77	良	46μg/m³	73μg/m³	36~176	0.863mg/m³	32μg/m³	23μg/m³	117μg/m³
2014-10	90	良	58μg/m³	100μg/m³	60~152	0.939mg/m³	40μg/m³	29μg/m³	119μg/m³
2014-11	107	轻度污染	80μg/m³	122μg/m³	65~200	1.24mg/m³	52μg/m³	37μg/m³	68μg/m³
2014-12	109	轻度污染	81μg/m³	136μg/m³	61~181	1.548mg/m³	54μg/m³	46μg/m³	43μg/m³
2015-01	135	轻度污染	101μg/m³	147μg/m³	48~211	1.5mg/m³	53μg/m³	40μg/m³	49μg/m³
2015-02	100	轻度污染	74μg/m³	106μg/m³	34~232	1.071mg/m³	37μg/m³	24μg/m³	71μg/m³
2015-03	84	良	59μg/m³	88μg/m³	46~186	1.032mg/m³	43μg/m³	24μg/m³	84μg/m³
2015-04	97	良	63μg/m³	105μg/m³	63~185	0.925mg/m³	45μg/m³	26μg/m³	131μg/m³
2015-05	85	良	49μg/m³	82μg/m³	44~151	0.839mg/m³	37μg/m³	21μg/m³	130μg/m³
2015-06	81	良	44μg/m³	73μg/m³	33~140	0.877mg/m³	32μg/m³	18μg/m³	121μg/m³
2015-07	76	良	42μg/m³	66μg/m³	22~169	0.9mg/m³	29μg/m³	18μg/m³	111μg/m³
2015-08	87	良	42μg/m³	68μg/m³	30~155	0.974mg/m³	31μg/m³	22μg/m³	135μg/m³
2015-09	87	良	40μg/m³	65μg/m³	41~179	1.087mg/m³	32μg/m³	28μg/m³	141μg/m³
2015-10	88	良	60μg/m³	100μg/m³	46~145	0.877mg/m³	47μg/m³	31μg/m³	119μg/m³
2015-11	84	良	61μg/m³	87μg/m³	30~159	1.11mg/m³	44μg/m³	25μg/m³	62μg/m³
2015-12	131	轻度污染	98μg/m³	141μg/m³	63~250	1.387mg/m³	64μg/m³	34μg/m³	46μg/m³
2016-01	109	轻度污染	80μg/m³	115μg/m³	48~211	1.397mg/m³	57μg/m³	29μg/m³	55μg/m³
2016-02	92	良	67μg/m³	102μg/m³	39~165	1.366mg/m³	46μg/m³	22μg/m³	84μg/m³
2016-03	98	良	69μg/m³	109μg/m³	43~182	1.439mg/m³	57μg/m³	25μg/m³	109μg/m³
2016-04	101	轻度污染	58μg/m³	93μg/m³	49~167	1.513mg/m³	54μg/m³	18μg/m³	143μg/m³
2016-05	102	轻度污染	55μg/m³	90μg/m³	44~168	1.49mg/m³	43μg/m³	14μg/m³	145μg/m³
2016-06	79	良	41μg/m³	60μg/m³	33~137	0.753mg/m³	37μg/m³	10μg/m³	125μg/m³
2016-07	84	良	37μg/m³	57μg/m³	33~155	0.661mg/m³	32μg/m³	11μg/m³	131μg/m³
2016-08	88	良	28μg/m³	50μg/m³	36~156	0.613mg/m³	30μg/m³	12μg/m³	143μg/m³
2016-09	84	良	40μg/m³	63μg/m³	25~175	0.703mg/m³	39μg/m³	13μg/m³	126μg/m³
2016-10	60	良	32μg/m³	52μg/m³	37~89	0.858mg/m³	43μg/m³	14μg/m³	70μg/m³
2016-11	83	良	54μg/m³	92μg/m³	32~166	1.103mg/m³	60μg/m³	22μg/m³	58μg/m³
2016-12	104	轻度污染	73μg/m³	114μg/m³	50~190	1.271mg/m³	64μg/m³	24μg/m³	59μg/m³
2017-01	87	良	60μg/m³	90μg/m³	41~202	1.145mg/m³	52μg/m³	18μg/m³	59μg/m³
2017-02	85	良	61μg/m³	90μg/m³	41~142	1.164mg/m³	49μg/m³	17μg/m³	88μg/m³
2017-03	77	良	53μg/m³	88μg/m³	52~116	1.065mg/m³	52μg/m³	16μg/m³	99μg/m³
2017-04	95	良	50μg/m³	95μg/m³	55~135	1.057mg/m³	53μg/m³	15μg/m³	135μg/m³
2017-05	116	轻度污染	32μg/m³	65μg/m³	40~192	1.013mg/m³	38μg/m³	13μg/m³	167μg/m³
2017-06	102	轻度污染	38μg/m³	62μg/m³	38~201	0.98mg/m³	35μg/m³	10μg/m³	153μg/m³
2017-07	90	良	26μg/m³	51μg/m³	36~185	0.726mg/m³	9μg/m³	25μg/m³	145μg/m³
2017-08	81	良	26μg/m³	48μg/m³	33~162	0.906mg/m³	7μg/m³	27μg/m³	134μg/m³
2017-09	73	良	30μg/m³	56μg/m³	42~157	1.04mg/m³	8μg/m³	41μg/m³	111μg/m³
2017-10	64	良	33μg/m³	62μg/m³	34~138	0.997mg/m³	42μg/m³	11μg/m³	91μg/m³
2017-11	86	良	52μg/m³	100μg/m³	35~139	1.217mg/m³	63μg/m³	15μg/m³	65μg/m³
2017-12	112	轻度污染	63μg/m³	110μg/m³	54~288	1.439mg/m³	72μg/m³	18μg/m³	31μg/m³
2018-01	103	轻度污染	74μg/m³	106μg/m³	0~258	1.313mg/m³	53μg/m³	14μg/m³	47μg/m³
2018-02	74	良	51μg/m³	83μg/m³	0~214	1.146mg/m³	40μg/m³	12μg/m³	73μg/m³
2018-03	72	良	44μg/m³	75μg/m³	38~112	0.971mg/m³	51μg/m³	11μg/m³	90μg/m³
2018-04	83	良	39μg/m³	83μg/m³	0~161	0.86mg/m³	46μg/m³	12μg/m³	130μg/m³
2018-05	77	良	38μg/m³	67μg/m³	0~133	0.81mg/m³	35μg/m³	10μg/m³	124μg/m³
2018-06	86	良	31μg/m³	55μg/m³	38~150	0.66mg/m³	27μg/m³	10μg/m³	136μg/m³
2018-07	68	良	23μg/m³	42μg/m³	21~181	0.581mg/m³	8μg/m³	23μg/m³	113μg/m³
2018-08	66	良	19μg/m³	36μg/m³	28~140	0.639mg/m³	9μg/m³	20μg/m³	113μg/m³
2018-09	68	良	28μg/m³	55μg/m³	34~131	0.853mg/m³	33μg/m³	11μg/m³	112μg/m³
2018-10	66	良	33μg/m³	69μg/m³	48~109	0.829mg/m³	43μg/m³	12μg/m³	102μg/m³
2018-11	79	良	52μg/m³	85μg/m³	34~198	1.017mg/m³	53μg/m³	11μg/m³	64μg/m³
2018-12	72	良	45μg/m³	79μg/m³	0~129	1.058mg/m³	53μg/m³	13μg/m³	38μg/m³
2019-01	87	良	61μg/m³	99μg/m³	35~155	1.142mg/m³	55μg/m³	11μg/m³	43μg/m³
2019-02	77	良	53μg/m³	77μg/m³	32~158	1.014mg/m³	8μg/m³	34μg/m³	66μg/m³
2019-03	79	良	51μg/m³	93μg/m³	44~107	0.848mg/m³	9μg/m³	45μg/m³	97μg/m³
2019-04	75	良	41μg/m³	73μg/m³	42~137	0.8mg/m³	9μg/m³	41μg/m³	110μg/m³
2019-05	94	良	33μg/m³	71μg/m³	36~187	0.7mg/m³	9μg/m³	38μg/m³	141μg/m³
2019-06	97	良	30μg/m³	51μg/m³	38~183	0.733mg/m³	6μg/m³	27μg/m³	152μg/m³
2019-07	87	良	27μg/m³	47μg/m³	26~151	0.687mg/m³	7μg/m³	26μg/m³	139μg/m³
2019-08	88	良	22μg/m³	41μg/m³	28~175	0.781mg/m³	6μg/m³	24μg/m³	138μg/m³
2019-09	82	良	26μg/m³	51μg/m³	25~153	0.883mg/m³	7μg/m³	31μg/m³	131μg/m³
2019-10	76	良	40μg/m³	83μg/m³	30~157	0.903mg/m³	9μg/m³	45μg/m³	104μg/m³
2019-11	76	良	37μg/m³	88μg/m³	38~123	0.85mg/m³	9μg/m³	54μg/m³	78μg/m³
2019-12	82	良	55μg/m³	87μg/m³	48~143	1.084mg/m³	9μg/m³	57μg/m³	52μg/m³
2020-01	83	良	58μg/m³	77μg/m³	36~199	0.981mg/m³	7μg/m³	39μg/m³	55μg/m³
2020-02	51	良	30μg/m³	46μg/m³	24~80	0.797mg/m³	6μg/m³	22μg/m³	84μg/m³
2020-03	60	良	29μg/m³	54μg/m³	35~101	0.661mg/m³	6μg/m³	35μg/m³	95μg/m³
2020-04	82	良	33μg/m³	67μg/m³	42~144	0.7mg/m³	7μg/m³	39μg/m³	133μg/m³
2020-05	96	良	37μg/m³	64μg/m³	46~172	0.803mg/m³	6μg/m³	30μg/m³	150μg/m³
2020-06	78	良	24μg/m³	38μg/m³	30~163	0.713mg/m³	5μg/m³	23μg/m³	128μg/m³
2020-07	72	良	25μg/m³	39μg/m³	28~155	0.806mg/m³	5μg/m³	25μg/m³	119μg/m³
2020-08	83	良	20μg/m³	38μg/m³	33~140	0.619mg/m³	6μg/m³	22μg/m³	137μg/m³
2020-09	84	良	28μg/m³	50μg/m³	40~178	0.83mg/m³	7μg/m³	35μg/m³	136μg/m³
2020-10	64	良	25μg/m³	52μg/m³	37~101	0.745mg/m³	7μg/m³	40μg/m³	98μg/m³
2020-11	64	良	31μg/m³	64μg/m³	34~104	0.803mg/m³	8μg/m³	47μg/m³	71μg/m³
2020-12	88	良	57μg/m³	93μg/m³	36~185	1.013mg/m³	59μg/m³	11μg/m³	46μg/m³
2021-01	79	良	41μg/m³	75μg/m³	58~117	0.877mg/m³	51μg/m³	10μg/m³	54μg/m³
2021-02	55	良	28μg/m³	47μg/m³	34~88	0.696mg/m³	6μg/m³	27μg/m³	84μg/m³
2021-03	73	良	31μg/m³	54μg/m³	41~156	0.752mg/m³	6μg/m³	42μg/m³	90μg/m³
2021-04	71	良	29μg/m³	55μg/m³	38~116	0.73mg/m³	7μg/m³	37μg/m³	108μg/m³
2021-05	90	良	24μg/m³	50μg/m³	35~146	0.694mg/m³	7μg/m³	31μg/m³	140μg/m³
2021-06	94	良	21μg/m³	41μg/m³	38~175	0.557mg/m³	6μg/m³	27μg/m³	146μg/m³
2021-07	68	良	16μg/m³	29μg/m³	20~127	0.484mg/m³	4μg/m³	16μg/m³	116μg/m³
2021-08	84	良	22μg/m³	38μg/m³	36~196	0.69mg/m³	5μg/m³	23μg/m³	137μg/m³
2021-09	83	良	20μg/m³	40μg/m³	25~159	0.633mg/m³	6μg/m³	24μg/m³	137μg/m³
2021-10	59	良	22μg/m³	45μg/m³	32~114	0.632mg/m³	6μg/m³	33μg/m³	98μg/m³
2021-11	64	良	30μg/m³	64μg/m³	34~104	0.64mg/m³	7μg/m³	47μg/m³	75μg/m³
2021-12	76	良	45μg/m³	81μg/m³	29~123	0.858mg/m³	55μg/m³	10μg/m³	57μg/m³
2022-01	73	良	50μg/m³	72μg/m³	32~147	0.916mg/m³	8μg/m³	40μg/m³	61μg/m³
2022-02	56	良	35μg/m³	53μg/m³	30~119	0.8mg/m³	8μg/m³	28μg/m³	82μg/m³
2022-03	72	良	32μg/m³	59μg/m³	33~127	0.794mg/m³	7μg/m³	31μg/m³	113μg/m³
2022-04	87	良	29μg/m³	52μg/m³	31~155	0.65mg/m³	8μg/m³	22μg/m³	140μg/m³
2022-05	90	良	24μg/m³	42μg/m³	40~140	0.645mg/m³	8μg/m³	22μg/m³	145μg/m³
2022-06	92	良	19μg/m³	34μg/m³	36~182	0.597mg/m³	8μg/m³	15μg/m³	147μg/m³
2022-07	89	良	17μg/m³	29μg/m³	38~180	0.655mg/m³	9μg/m³	13μg/m³	145μg/m³
2022-08	94	良	21μg/m³	38μg/m³	38~155	0.716mg/m³	8μg/m³	17μg/m³	149μg/m³
2022-09	68	良	20μg/m³	40μg/m³	26~168	0.793mg/m³	7μg/m³	19μg/m³	115μg/m³
2022-10	56	良	19μg/m³	40μg/m³	29~110	0.758mg/m³	9μg/m³	26μg/m³	100μg/m³
2022-11	52	良	27μg/m³	49μg/m³	27~88	0.85mg/m³	9μg/m³	36μg/m³	69μg/m³
2022-12	71	良	40μg/m³	77μg/m³	35~144	0.935mg/m³	44μg/m³	11μg/m³	48μg/m³
2023-01	65	良	41μg/m³	72μg/m³	24~127	0.881mg/m³	9μg/m³	31μg/m³	75μg/m³
2023-02	54	良	31μg/m³	55μg/m³	36~101	0.75mg/m³	8μg/m³	34μg/m³	68μg/m³
2023-03	74	良	33μg/m³	81μg/m³	36~104	0.8mg/m³	39μg/m³	10μg/m³	105μg/m³
2023-04	87	良	33μg/m³	87μg/m³	33~188	0.707mg/m³	8μg/m³	27μg/m³	124μg/m³
2023-05	86	良	26μg/m³	51μg/m³	34~143	0.719mg/m³	7μg/m³	24μg/m³	138μg/m³
2023-06	92	良	20μg/m³	34μg/m³	30~201	0.783mg/m³	6μg/m³	20μg/m³	145μg/m³
2023-07	61	良	14μg/m³	24μg/m³	20~108	0.61mg/m³	6μg/m³	17μg/m³	108μg/m³
2023-08	78	良	19μg/m³	33μg/m³	24~150	0.755mg/m³	7μg/m³	20μg/m³	130μg/m³
2023-09	68	良	21μg/m³	34μg/m³	31~135	0.86mg/m³	7μg/m³	25μg/m³	115μg/m³
2023-10	73	良	28μg/m³	51μg/m³	33~131	0.919mg/m³	8μg/m³	40μg/m³	123μg/m³
2023-11	69	良	34μg/m³	68μg/m³	32~95	0.863mg/m³	9μg/m³	46μg/m³	80μg/m³
2023-12	82	良	52μg/m³	83μg/m³	29~180	0.997mg/m³	9μg/m³	56μg/m³	29μg/m³
2024-01	82	良	56μg/m³	82μg/m³	33~170	1.042mg/m³	8μg/m³	51μg/m³	56μg/m³
2024-02	58	良	38μg/m³	50μg/m³	27~172	0.772mg/m³	7μg/m³	22μg/m³	77μg/m³
2024-03	69	良	36μg/m³	70μg/m³	45~105	0.826mg/m³	6μg/m³	42μg/m³	97μg/m³
2024-04	65	良	27μg/m³	48μg/m³	36~103	0.78mg/m³	6μg/m³	31μg/m³	109μg/m³
2024-05	89	良	22μg/m³	41μg/m³	36~173	0.687mg/m³	5μg/m³	23μg/m³	144μg/m³
2024-06	86	良	16μg/m³	27μg/m³	23~184	0.647mg/m³	5μg/m³	18μg/m³	137μg/m³
2024-07	65	良	12μg/m³	24μg/m³	27~110	0.516mg/m³	4μg/m³	14μg/m³	115μg/m³
2024-08	90	良	18μg/m³	31μg/m³	49~133	0.687mg/m³	5μg/m³	18μg/m³	147μg/m³
2024-09	62	良	14μg/m³	29μg/m³	19~115	0.717mg/m³	5μg/m³	17μg/m³	109μg/m³
2024-10	52	良	20μg/m³	35μg/m³	30~110	0.79mg/m³	6μg/m³	27μg/m³	94μg/m³
2024-11	53	良	24μg/m³	48μg/m³	31~85	0.83mg/m³	7μg/m³	33μg/m³	79μg/m³
2024-12	70	良	44μg/m³	73μg/m³	41~127	0.9mg/m³	9μg/m³	48μg/m³	59μg/m³
2025-01	71	良	44μg/m³	76μg/m³	34~158	0.91mg/m³	8μg/m³	43μg/m³	77μg/m³
2025-02	64	良	41μg/m³	62μg/m³	34~104	0.779mg/m³	6μg/m³	31μg/m³	80μg/m³
2025-03	63	良	28μg/m³	55μg/m³	33~138	0.71mg/m³	7μg/m³	34μg/m³	106μg/m³
2025-04	97	良	32μg/m³	76μg/m³	53~142	0.733mg/m³	7μg/m³	32μg/m³	149μg/m³
2025-05	91	良	25μg/m³	49μg/m³	42~148	0.671mg/m³	5μg/m³	24μg/m³	147μg/m³
2025-06	70	良	16μg/m³	28μg/m³	37~159	0.683mg/m³	5μg/m³	21μg/m³	119μg/m³
上海									
月份	aqi	质量等级	pm2_5	pm10	范围	co	no2	so2	o3
2013-12	158	中度污染	125μg/m³	140μg/m³	24~468	1.373mg/m³	71μg/m³	48μg/m³	49μg/m³
2014-01	103	轻度污染	77μg/m³	90μg/m³	30~238	0.997mg/m³	54μg/m³	28μg/m³	58μg/m³
2014-02	74	良	52μg/m³	59μg/m³	27~240	0.796mg/m³	36μg/m³	17μg/m³	73μg/m³
2014-03	82	良	57μg/m³	84μg/m³	39~202	0.787mg/m³	51μg/m³	19μg/m³	100μg/m³
2014-04	77	良	53μg/m³	67μg/m³	50~187	0.727mg/m³	47μg/m³	15μg/m³	108μg/m³
2014-05	96	良	63μg/m³	99μg/m³	53~193	0.777mg/m³	42μg/m³	17μg/m³	142μg/m³
2014-06	72	良	44μg/m³	58μg/m³	37~182	0.72mg/m³	35μg/m³	12μg/m³	118μg/m³
2014-07	74	良	45μg/m³	63μg/m³	32~167	0.765mg/m³	31μg/m³	12μg/m³	112μg/m³
2014-08	67	良	38μg/m³	52μg/m³	30~150	0.768mg/m³	34μg/m³	13μg/m³	112μg/m³
2014-09	69	良	35μg/m³	52μg/m³	32~138	0.74mg/m³	32μg/m³	13μg/m³	117μg/m³
2014-10	77	良	40μg/m³	68μg/m³	52~137	0.781mg/m³	42μg/m³	16μg/m³	119μg/m³
2014-11	74	良	52μg/m³	71μg/m³	38~182	0.843mg/m³	52μg/m³	18μg/m³	84μg/m³
2014-12	99	良	72μg/m³	113μg/m³	39~190	1.09mg/m³	68μg/m³	36μg/m³	47μg/m³
2015-01	111	轻度污染	83μg/m³	108μg/m³	28~256	1.09mg/m³	63μg/m³	29μg/m³	56μg/m³
2015-02	90	良	64μg/m³	85μg/m³	34~222	0.946mg/m³	46μg/m³	20μg/m³	81μg/m³
2015-03	81	良	54μg/m³	66μg/m³	37~143	0.845mg/m³	48μg/m³	15μg/m³	102μg/m³
2015-04	88	良	56μg/m³	81μg/m³	44~166	0.79mg/m³	53μg/m³	16μg/m³	122μg/m³
2015-05	77	良	44μg/m³	63μg/m³	51~117	0.697mg/m³	39μg/m³	12μg/m³	126μg/m³
2015-06	80	良	43μg/m³	57μg/m³	43~188	0.697mg/m³	35μg/m³	11μg/m³	129μg/m³
2015-07	84	良	39μg/m³	57μg/m³	31~171	0.658mg/m³	31μg/m³	11μg/m³	134μg/m³
2015-08	86	良	40μg/m³	58μg/m³	28~181	0.735mg/m³	28μg/m³	13μg/m³	135μg/m³
2015-09	79	良	34μg/m³	49μg/m³	35~159	0.72mg/m³	32μg/m³	13μg/m³	132μg/m³
2015-10	82	良	47μg/m³	73μg/m³	47~133	0.816mg/m³	49μg/m³	17μg/m³	127μg/m³
2015-11	87	良	58μg/m³	74μg/m³	35~179	1.09mg/m³	58μg/m³	17μg/m³	69μg/m³
2015-12	117	轻度污染	82μg/m³	104μg/m³	53~266	1.197mg/m³	67μg/m³	25μg/m³	52μg/m³
2016-01	102	轻度污染	70μg/m³	91μg/m³	40~213	1.045mg/m³	57μg/m³	24μg/m³	69μg/m³
2016-02	80	良	54μg/m³	78μg/m³	42~178	0.855mg/m³	43μg/m³	19μg/m³	97μg/m³
2016-03	80	良	52μg/m³	76μg/m³	45~134	0.684mg/m³	49μg/m³	17μg/m³	107μg/m³
2016-04	90	良	56μg/m³	81μg/m³	53~159	0.737mg/m³	50μg/m³	14μg/m³	126μg/m³
2016-05	93	良	51μg/m³	77μg/m³	51~163	0.742mg/m³	41μg/m³	12μg/m³	135μg/m³
2016-06	79	良	40μg/m³	54μg/m³	43~139	0.703mg/m³	36μg/m³	10μg/m³	122μg/m³
2016-07	95	良	38μg/m³	59μg/m³	24~169	0.752mg/m³	31μg/m³	10μg/m³	143μg/m³
2016-08	59	良	19μg/m³	36μg/m³	26~135	0.665mg/m³	23μg/m³	11μg/m³	104μg/m³
2016-09	68	良	32μg/m³	45μg/m³	23~163	0.723mg/m³	34μg/m³	12μg/m³	112μg/m³
2016-10	51	良	22μg/m³	37μg/m³	29~72	0.632mg/m³	33μg/m³	12μg/m³	87μg/m³
2016-11	78	良	44μg/m³	62μg/m³	37~144	0.867mg/m³	58μg/m³	16μg/m³	69μg/m³
2016-12	94	良	58μg/m³	77μg/m³	38~185	1.058mg/m³	65μg/m³	19μg/m³	64μg/m³
2017-01	73	良	45μg/m³	55μg/m³	34~130	0.945mg/m³	47μg/m³	17μg/m³	74μg/m³
2017-02	77	良	50μg/m³	57μg/m³	38~154	0.868mg/m³	49μg/m³	14μg/m³	93μg/m³
2017-03	71	良	44μg/m³	58μg/m³	47~102	0.768mg/m³	50μg/m³	12μg/m³	108μg/m³
2017-04	91	良	45μg/m³	70μg/m³	53~139	0.83mg/m³	51μg/m³	12μg/m³	133μg/m³
2017-05	88	良	28μg/m³	49μg/m³	42~161	0.674mg/m³	37μg/m³	11μg/m³	136μg/m³
2017-06	83	良	38μg/m³	42μg/m³	46~160	0.7mg/m³	9μg/m³	35μg/m³	130μg/m³
2017-07	117	轻度污染	33μg/m³	55μg/m³	33~205	0.706mg/m³	30μg/m³	10μg/m³	177μg/m³
2017-08	97	良	31μg/m³	47μg/m³	25~193	0.781mg/m³	8μg/m³	32μg/m³	151μg/m³
2017-09	74	良	26μg/m³	42μg/m³	44~168	0.77mg/m³	9μg/m³	36μg/m³	118μg/m³
2017-10	58	良	24μg/m³	42μg/m³	36~88	0.732mg/m³	9μg/m³	34μg/m³	101μg/m³
2017-11	78	良	41μg/m³	68μg/m³	38~130	0.863mg/m³	59μg/m³	13μg/m³	80μg/m³
